Time;	Terminal_IsWork;	Terminal_PowerConsumption;	Terminal_Coordinate;	
137;1.000000;111.930757;10.000000_10.000000;
138;1.000000;112.051437;10.000000_10.000000;
139;1.000000;110.237384;10.000000_10.000000;
140;1.000000;108.804642;10.000000_10.000000;
141;1.000000;110.424733;10.000000_10.000000;
142;1.000000;111.709273;10.000000_10.000000;
143;1.000000;112.583753;10.000000_10.000000;
144;1.000000;115.214864;10.000000_10.000000;
145;1.000000;116.018248;10.000000_10.000000;
146;1.000000;117.524947;10.000000_10.000000;
147;1.000000;115.136138;10.000000_10.000000;
148;1.000000;113.034342;10.000000_10.000000;
149;1.000000;113.148563;10.000000_10.000000;
150;1.000000;110.762442;10.000000_10.000000;
151;1.000000;108.380531;10.000000_10.000000;
152;1.000000;106.780049;10.000000_10.000000;
153;1.000000;106.574073;10.000000_10.000000;
154;1.000000;108.277538;10.000000_10.000000;
155;1.000000;108.674476;10.000000_10.000000;
156;1.000000;110.063232;10.000000_10.000000;
157;1.000000;107.597479;10.000000_10.000000;
158;1.000000;105.756524;10.000000_10.000000;
159;1.000000;108.400404;10.000000_10.000000;
160;1.000000;106.797859;10.000000_10.000000;
161;1.000000;108.880180;10.000000_10.000000;
162;1.000000;106.841227;10.000000_10.000000;
163;1.000000;109.500500;10.000000_10.000000;
164;1.000000;107.058954;10.000000_10.000000;
165;1.000000;109.042435;10.000000_10.000000;
166;1.000000;106.710719;10.000000_10.000000;
167;1.000000;104.065156;10.000000_10.000000;
168;1.000000;106.266493;10.000000_10.000000;
169;1.000000;106.765373;10.000000_10.000000;
170;1.000000;105.059114;10.000000_10.000000;
171;1.000000;103.289559;10.000000_10.000000;
172;1.000000;102.730195;10.000000_10.000000;
173;1.000000;104.851711;10.000000_10.000000;
174;1.000000;106.527740;10.000000_10.000000;
175;1.000000;105.777228;10.000000_10.000000;
176;1.000000;106.054814;10.000000_10.000000;
177;1.000000;106.476010;10.000000_10.000000;
178;1.000000;106.223534;10.000000_10.000000;
179;1.000000;107.218781;10.000000_10.000000;
180;1.000000;105.072476;10.000000_10.000000;
181;1.000000;105.234330;10.000000_10.000000;
182;1.000000;106.588137;10.000000_10.000000;
183;1.000000;105.545146;10.000000_10.000000;
184;1.000000;108.142762;10.000000_10.000000;
185;1.000000;108.558956;10.000000_10.000000;
186;1.000000;110.608624;10.000000_10.000000;
187;1.000000;111.979116;10.000000_10.000000;
188;1.000000;112.700877;10.000000_10.000000;
189;1.000000;110.082953;10.000000_10.000000;
190;1.000000;111.446897;10.000000_10.000000;
191;1.000000;113.303817;10.000000_10.000000;
192;1.000000;115.713656;10.000000_10.000000;
193;1.000000;117.873286;10.000000_10.000000;
194;1.000000;119.824310;10.000000_10.000000;
195;1.000000;122.696703;10.000000_10.000000;
196;1.000000;124.192445;10.000000_10.000000;
197;1.000000;126.697197;10.000000_10.000000;
198;1.000000;129.760709;10.000000_10.000000;
199;1.000000;130.843434;10.000000_10.000000;
200;0.000000;0.000000;10.000000_10.000000;
201;0.000000;0.000000;10.000000_10.000000;
202;0.000000;0.000000;10.000000_10.000000;
203;0.000000;0.000000;10.000000_10.000000;
204;0.000000;0.000000;10.000000_10.000000;
205;0.000000;0.000000;10.000000_10.000000;
206;0.000000;0.000000;10.000000_10.000000;
207;0.000000;0.000000;10.000000_10.000000;
208;0.000000;0.000000;10.000000_10.000000;
209;0.000000;0.000000;10.000000_10.000000;
210;0.000000;0.000000;10.000000_10.000000;
211;0.000000;0.000000;10.000000_10.000000;
212;0.000000;0.000000;10.000000_10.000000;
213;0.000000;0.000000;10.000000_10.000000;
214;0.000000;0.000000;10.000000_10.000000;
215;0.000000;0.000000;10.000000_10.000000;
216;0.000000;0.000000;10.000000_10.000000;
217;0.000000;0.000000;10.000000_10.000000;
218;0.000000;0.000000;10.000000_10.000000;
219;0.000000;0.000000;10.000000_10.000000;
220;0.000000;0.000000;10.000000_10.000000;
221;0.000000;0.000000;10.000000_10.000000;
222;0.000000;0.000000;10.000000_10.000000;
223;0.000000;0.000000;10.000000_10.000000;
224;0.000000;0.000000;10.000000_10.000000;
225;0.000000;0.000000;10.000000_10.000000;
226;0.000000;0.000000;10.000000_10.000000;
227;0.000000;0.000000;10.000000_10.000000;
228;0.000000;0.000000;10.000000_10.000000;
229;0.000000;0.000000;10.000000_10.000000;
230;0.000000;0.000000;10.000000_10.000000;
231;0.000000;0.000000;10.000000_10.000000;
232;0.000000;0.000000;10.000000_10.000000;
233;0.000000;0.000000;10.000000_10.000000;
234;0.000000;0.000000;10.000000_10.000000;
235;0.000000;0.000000;10.000000_10.000000;
236;0.000000;0.000000;10.000000_10.000000;
237;0.000000;0.000000;10.000000_10.000000;
238;0.000000;0.000000;10.000000_10.000000;
239;0.000000;0.000000;10.000000_10.000000;
240;0.000000;0.000000;10.000000_10.000000;
241;0.000000;0.000000;10.000000_10.000000;
242;0.000000;0.000000;10.000000_10.000000;
243;0.000000;0.000000;10.000000_10.000000;
244;0.000000;0.000000;10.000000_10.000000;
245;0.000000;0.000000;10.000000_10.000000;
246;0.000000;0.000000;10.000000_10.000000;
247;0.000000;0.000000;10.000000_10.000000;
248;0.000000;0.000000;10.000000_10.000000;
249;0.000000;0.000000;10.000000_10.000000;
250;0.000000;0.000000;10.000000_10.000000;
251;0.000000;0.000000;10.000000_10.000000;
252;0.000000;0.000000;10.000000_10.000000;
253;0.000000;0.000000;10.000000_10.000000;
254;0.000000;0.000000;10.000000_10.000000;
255;0.000000;0.000000;10.000000_10.000000;
256;0.000000;0.000000;10.000000_10.000000;
257;0.000000;0.000000;10.000000_10.000000;
258;0.000000;0.000000;10.000000_10.000000;
259;0.000000;0.000000;10.000000_10.000000;
260;0.000000;0.000000;10.000000_10.000000;
261;0.000000;0.000000;10.000000_10.000000;
262;0.000000;0.000000;10.000000_10.000000;
263;0.000000;0.000000;10.000000_10.000000;
264;0.000000;0.000000;10.000000_10.000000;
265;0.000000;0.000000;10.000000_10.000000;
266;0.000000;0.000000;10.000000_10.000000;
267;0.000000;0.000000;10.000000_10.000000;
268;0.000000;0.000000;10.000000_10.000000;
269;0.000000;0.000000;10.000000_10.000000;
270;0.000000;0.000000;10.000000_10.000000;
271;0.000000;0.000000;10.000000_10.000000;
272;0.000000;0.000000;10.000000_10.000000;
273;0.000000;0.000000;10.000000_10.000000;
274;0.000000;0.000000;10.000000_10.000000;
275;0.000000;0.000000;10.000000_10.000000;
276;0.000000;0.000000;10.000000_10.000000;
277;0.000000;0.000000;10.000000_10.000000;
278;0.000000;0.000000;10.000000_10.000000;
279;0.000000;0.000000;10.000000_10.000000;
280;0.000000;0.000000;10.000000_10.000000;
281;0.000000;0.000000;10.000000_10.000000;
282;0.000000;0.000000;10.000000_10.000000;
283;0.000000;0.000000;10.000000_10.000000;
284;0.000000;0.000000;10.000000_10.000000;
285;0.000000;0.000000;10.000000_10.000000;
286;0.000000;0.000000;10.000000_10.000000;
287;0.000000;0.000000;10.000000_10.000000;
288;0.000000;0.000000;10.000000_10.000000;
289;0.000000;0.000000;10.000000_10.000000;
290;0.000000;0.000000;10.000000_10.000000;
291;0.000000;0.000000;10.000000_10.000000;
292;0.000000;0.000000;10.000000_10.000000;
293;0.000000;0.000000;10.000000_10.000000;
294;0.000000;0.000000;10.000000_10.000000;
295;0.000000;0.000000;10.000000_10.000000;
296;0.000000;0.000000;10.000000_10.000000;
297;0.000000;0.000000;10.000000_10.000000;
298;0.000000;0.000000;10.000000_10.000000;
299;0.000000;0.000000;10.000000_10.000000;
300;0.000000;0.000000;10.000000_10.000000;
301;0.000000;0.000000;10.000000_10.000000;
302;0.000000;0.000000;10.000000_10.000000;
303;0.000000;0.000000;10.000000_10.000000;
304;0.000000;0.000000;10.000000_10.000000;
305;0.000000;0.000000;10.000000_10.000000;
306;0.000000;0.000000;10.000000_10.000000;
307;0.000000;0.000000;10.000000_10.000000;
308;0.000000;0.000000;10.000000_10.000000;
309;0.000000;0.000000;10.000000_10.000000;
310;0.000000;0.000000;10.000000_10.000000;
311;0.000000;0.000000;10.000000_10.000000;
312;0.000000;0.000000;10.000000_10.000000;
313;0.000000;0.000000;10.000000_10.000000;
314;0.000000;0.000000;10.000000_10.000000;
315;0.000000;0.000000;10.000000_10.000000;
